Network combo,DMN&LPN,DMN&LPN,DMN&LPN,DMN&LPN,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,
CV #,4,2,2,7,7,3,3,7,2,2,5,7,2,5,5,5,1,3,8,1,7,1,
Network,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,DMN,RESP,RESP,RESP,RESP,RESP,RESP,DMN,DMN,LPN,LPN,RESP,RESP,RESP,
Correlated with,Demo,Demo,Demo,Perf,Demo,Demo,Demo,Demo,Demo,Demo,Perf,Demo,Demo,Perf,Perf,Demo,Demo,Demo,Demo,Demo,Demo,Demo,
Condition,Sex,Head_Injury,Unconscious,AccHW,Handedness,Medications,Seizure_Convulsion,Neurological_Problems,Smoking,Children,EN_RT,Times_married,Children,EW_RT,HW_RT,Sex,Smoking,Birth_complications,Spirituality_Importance,Children,Hospitalized,Paralysis_Arthritis_BackPain,
R,-0.57654,-0.5201,-0.56997,0.53374,-0.50656,-0.52197,-0.52197,0.50656,-0.56034,0.53678,0.50562,0.56058,-0.50576,0.57533,0.5448,-0.58322,-0.51409,-0.51984,0.57173,0.59747,0.52818,-0.5241,
p,0.0025556,0.0076975,0.0029346,0.0059987,0.0097657,0.007444,0.007444,0.0097657,0.0035764,0.0056661,0.0099252,0.0035592,0.009901,0.0026222,0.0048622,0.0022137,0.0085651,0.0077334,0.002829,0.0016122,0.006649,0.0071624,
HN_up,-0.43027,0.25178,0.25178,-0.12175,-0.38916,-0.46029,-0.46029,-0.38916,-0.51472,0.14013,-0.27179,-0.26321,0.038596,-0.25285,-0.25285,-0.15732,-0.71197,0.16676,0.2083,0.37051,-0.44908,0.37051,
EN_up,0.42967,0.67994,0.67994,0.28959,-0.014133,-0.22019,-0.22019,-0.014133,-0.22155,0.40071,0.3597,-0.44128,-0.52564,0.19094,0.19094,0.12877,-0.45674,-0.16548,0.019572,0.64682,0.058451,0.64682,
HW_up,0.3106,0.2486,0.2486,-0.23983,-0.40836,-0.45024,-0.45024,-0.40836,0.20384,-0.19044,-0.37136,-0.25912,0.13161,-0.24916,-0.24916,0.4121,-0.165,-0.24525,0.3788,0.1983,-0.21716,0.1983,
EW_up,0.42542,-0.28636,-0.28636,0.28656,-0.74881,0.02792,0.02792,-0.74881,-0.38297,0.60066,0.071323,-0.26543,-0.68389,-0.079754,-0.079754,0.37349,-0.22243,0.36753,0.3224,0.84677,-0.027602,0.84677,
HN_down,-0.082516,0.38905,0.38905,0.54619,0.095654,-0.26635,-0.26635,0.095654,-0.16946,0.25049,0.70945,0.43816,-0.51621,0.61991,0.61991,-0.35896,-0.39569,0.17565,0.49227,0.16393,-0.51773,0.16393,
EN_down,-0.30067,0.58938,0.58938,0.37575,-0.0061657,0.013188,0.013188,-0.0061657,0.38624,-0.41137,-0.0084779,0.34511,-0.13017,0.49336,0.49336,-0.50068,0.085884,-0.42653,0.46461,-0.35258,-0.82958,-0.35258,
HW_down,0.18987,-0.034461,-0.034461,0.42441,-0.066441,0.05881,0.05881,-0.066441,0.59107,0.08886,0.41581,0.076982,-0.60735,0.3368,0.3368,-0.092886,0.56481,-0.23126,0.36844,-0.02153,-0.42024,-0.02153,
EW_down,-0.13926,0.30748,0.30748,-0.25618,0.22269,0.028599,0.028599,0.22269,0.34678,0.24488,0.022648,-0.0023248,-0.29574,-0.27297,-0.27297,-0.42504,0.36011,-0.24945,0.66427,-0.15857,-0.14128,-0.15857,
