Network combo,DMN&LPN,DMN&LPN,DMN&LPN,DMN&LPN,DMN&LPN,DMN&LPN,DMN&LPN,DMN&LPN,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,DMN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,DMN&LPN&RESP,
CV #,4,4,3,7,7,3,2,3,3,1,4,4,3,1,1,8,4,4,6,2,5,5,8,7,3,5,1,5,8,1,1,1,8,8,1,1,7,8,4,4,4,
Network,DMN,DMN,DMN,DMN,LPN,LPN,LPN,LPN,DMN,DMN,DMN,DMN,RESP,RESP,RESP,RESP,LPN,LPN,LPN,LPN,LPN,LPN,LPN,LPN,RESP,DMN,DMN,DMN,LPN,LPN,LPN,LPN,RESP,RESP,RESP,RESP,RESP,RESP,RESP,RESP,RESP,
Correlated with,Demo,Demo,Demo,Perf,Demo,Demo,Demo,Perf,Demo,Demo,Perf,Perf,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Perf,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Demo,Symp,Symp,Symp,
Condition,Living_Arrangements,Adopted,Neurological_Problems,AccHW,Country_born,Responsible_Job,Religious_Groups,AccEN,TestAge,Times_married,AccEN,AccHW,TestAge,Times_married,Living_Arrangements,Fathers_ethnicity,Children,Living_Arrangements,Participant_Education_Years,Responsible_Job,Medications,Smoking,Religious_Groups,AccHN,Fathers_ethnicity,TestAge,Living_Arrangements,Mothers_ethnicity,Children,Living_Arrangements,Responsible_Job,Head_Injury,Sex,Gender_Identity,Times_married,Living_Arrangements,Fathers_ethnicity,Medications,YMRS_6,HAMD_10,HAMD_14,
R,0.57036,0.55336,0.65122,-0.55546,0.57624,-0.61508,-0.65648,-0.60911,0.62644,-0.61059,-0.58771,-0.57731,0.60322,-0.57571,-0.58425,-0.65242,0.62233,0.64277,0.59687,-0.5661,-0.55275,0.55323,-0.6791,0.56737,0.63068,0.5695,-0.58222,-0.55448,0.55066,-0.58777,0.60331,-0.58196,-0.57593,-0.57593,-0.5498,-0.62646,0.66209,0.71298,-0.64641,-0.64641,-0.64641,
p,0.0069384,0.0092637,0.0013857,0.0089461,0.0062561,0.0030022,0.0012282,0.0033808,0.0023785,0.0032837,0.0050836,0.0061383,0.0037937,0.006315,0.0054163,0.0013483,0.0025899,0.0016749,0.0042836,0.0074705,0.0093583,0.0092833,0.00071121,0.0073078,0.0021752,0.0070433,0.0056202,0.0090931,0.0096856,0.0050785,0.003787,0.0056464,0.0062907,0.0062907,0.0098231,0.0023775,0.0010769,0.00028595,0.0015447,0.0015447,0.0015447,
HN_up,0.38753,0.38753,0.14744,0.025955,-0.2299,-0.28586,0.19111,-0.28586,-0.65506,-0.25398,-0.12964,-0.12964,-0.1568,0.26131,0.26131,-0.024563,0.48493,0.48493,-0.43248,-0.026971,-0.075079,-0.075079,0.089839,0.54714,0.43942,-0.60243,0.12943,-0.60243,0.13218,-0.24674,-0.24674,-0.24674,0.068532,0.068532,0.35182,0.35182,-0.18197,0.068532,0.041746,0.041746,0.041746,
EN_up,-0.21861,-0.21861,0.10517,-0.018843,0.17371,-0.20028,0.13734,-0.20028,-0.22556,0.24216,-0.011316,-0.011316,-0.48166,-0.49801,-0.49801,0.044053,-0.70689,-0.70689,-0.2278,-0.39743,-0.060831,-0.060831,0.05066,-0.11248,0.37138,-0.20888,0.39366,-0.20888,-0.12661,0.76315,0.76315,0.76315,-0.11703,-0.11703,-0.56242,-0.56242,0.031627,-0.11703,-0.19731,-0.19731,-0.19731,
HW_up,0.16277,0.16277,0.36412,0.34295,0.078902,-0.48268,-0.19656,-0.48268,-0.6526,0.12786,0.25023,0.25023,-0.3821,0.20916,0.20916,0.24846,-0.073219,-0.073219,-0.21669,-0.11253,-0.54666,-0.54666,0.021798,0.7842,0.23474,-0.80941,0.078643,-0.80941,0.14079,0.13605,0.13605,0.13605,-0.28069,-0.28069,0.5164,0.5164,-0.30113,-0.28069,0.034281,0.034281,0.034281,
EW_up,-0.16878,-0.16878,-0.0765,0.08596,0.28275,-0.24006,-0.38008,-0.24006,-0.34008,0.36134,0.34551,0.34551,-0.22929,-0.8048,-0.8048,0.072385,-0.5975,-0.5975,0.12307,-0.13133,0.2631,0.2631,-0.56771,0.17839,-0.17535,-0.5414,0.28937,-0.5414,-0.77526,0.5393,0.5393,0.5393,0.29415,0.29415,-0.60413,-0.60413,-0.26542,0.29415,0.19894,0.19894,0.19894,
HN_down,-0.91116,-0.91116,-0.20395,-0.13998,0.50733,0.041171,-0.13507,0.041171,0.49402,0.67805,0.0028029,0.0028029,0.070399,-0.53362,-0.53362,-0.53306,-0.3254,-0.3254,0.15537,0.18193,0.1489,0.1489,0.07632,-0.21763,0.1495,0.47286,0.78017,0.47286,-0.18143,-0.29254,-0.29254,-0.29254,0.098503,0.098503,-0.51471,-0.51471,0.60525,0.098503,0.46638,0.46638,0.46638,
EN_down,-0.62218,-0.62218,0.53393,0.19838,-0.035983,-0.39899,0.50519,-0.39899,0.15475,0.27208,0.43738,0.43738,0.0080952,-0.33344,-0.33344,-0.1581,0.2004,0.2004,0.38836,0.20228,-0.034871,-0.034871,0.81997,-0.025812,0.1643,0.26446,0.39069,0.26446,0.54527,-0.27043,-0.27043,-0.27043,-0.27061,-0.27061,-0.35723,-0.35723,0.22229,-0.27061,0.19826,0.19826,0.19826,
HW_down,-0.64278,-0.64278,0.38096,0.2406,-0.1415,-0.386,-0.30153,-0.386,0.48402,0.14991,0.59768,0.59768,0.22732,-0.84898,-0.84898,0.19451,-0.36761,-0.36761,0.68337,0.080188,-0.51925,-0.51925,0.12276,-0.31975,-0.28356,0.19176,0.10338,0.19176,0.29675,0.36413,0.36413,0.36413,-0.13613,-0.13613,-0.88213,-0.88213,-0.13099,-0.13613,0.2895,0.2895,0.2895,
EW_down,-0.26695,-0.26695,0.12833,0.51542,-0.24656,-0.02443,-0.56509,-0.02443,-0.045624,0.10276,0.14241,0.14241,0.15174,0.082835,0.082835,0.38143,0.23527,0.23527,0.12158,0.63283,-0.58324,-0.58324,-0.14552,0.084005,-0.31884,-0.23728,0.28075,-0.23728,0.32332,-0.57056,-0.57056,-0.57056,-0.25519,-0.25519,0.19123,0.19123,-0.37681,-0.25519,0.50348,0.50348,0.50348,
